tic_id,gaia_id,pl_orbper,pl_radj,pl_massj,pl_dens,pl_orbeccen,pl_eqt,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_lum,ra,dec,sy_pmra,sy_pmdec,sy_dist
TIC 266015990,Gaia DR2 2582617711154563968,0.571292,0.136,0.0263,13.1,0,2333,,1.532,2.892,0.01601,5470,0.87,0.94,,13.0800239,10.7947051,60.9629,2.2394,244.59
TIC 266015990,Gaia DR2 2582617711154563968,0.571336,0.162,0.02832,8.57,,2063,,1.79,2.732,0.01745,5496,0.95,0.92,,13.0800239,10.7947051,60.9629,2.2394,244.59
TIC 266015990,Gaia DR2 2582617711154563968,0.571,0.153,0.02429,8.5,,,,,,0.01598,5496,0.98,0.9,,13.0800239,10.7947051,60.9629,2.2394,244.59
TIC 266015990,Gaia DR2 2582617711154563968,13.3387,0.247,0.01793,1.3,,722,,3.5,27.1739,0.0265,5496,0.95,0.92,,13.0800239,10.7947051,60.9629,2.2394,244.59
TIC 266015990,Gaia DR2 2582617711154563968,13.3397,0.223,0.01825,2,0.18,774,,3.66,26.2,0.02632,5470,0.87,0.94,,13.0800239,10.7947051,60.9629,2.2394,244.59
TIC 411839167,Gaia DR2 3393939026234131584,6.180235,1.051,3,3.1,,1401,0.464,4.10808,9.8,0.0681,6202,1.59,1.32,0.526,78.9198197,16.2786991,2.71745,-12.9828,372.632
TIC 392876254,Gaia DR2 3882879683758393344,3650,1.11,13,,0,183,0.18,53.6,,0.042,4898,2.7,0.9,,159.3890808,11.8427484,-38.743,1.21019,551.886
TIC 432254760,Gaia DR2 6259263137059042048,3.5951,0.174,0.02753,6.39,0.06,1616,,4.33,5.93,0.0104,5430,1.71,1.05,,228.2482353,-16.7246474,13.5528,-34.2865,321.296
TIC 432254760,Gaia DR2 6259263137059042048,15.624,0.327,0.04616,1.62,0.07,990,,6.37,15.79,0.0197,5430,1.71,1.05,,228.2482353,-16.7246474,13.5528,-34.2865,321.296
TIC 432254760,Gaia DR2 6259263137059042048,35.747,0.352,0.03203,0.91,0.15,752,,9.56,27.42,0.0211,5430,1.71,1.05,,228.2482353,-16.7246474,13.5528,-34.2865,321.296
TIC 203214081,Gaia DR2 684992690384102528,5.746007,0.181,0.03681,,0,456,0.365,1.3368,27,0.0605,3348,0.31,0.29,-1.971,134.7188514,21.0747961,175.512,-318.469,27.9276
TIC 101955023,Gaia DR2 5413438219396893568,1.62893,0.103,0.0051,6,0,409,,,16,0.0512,3270,0.21,0.18,-2.359,153.7090696,-47.1549358,-1053.98,414.3,12.613
TIC 101955023,Gaia DR2 5413438219396893568,1.6289287,0.128,0.00513,3.1,,644,,,,0.05041,,0.26,0.18,,153.7090696,-47.1549358,-1053.98,414.3,12.613
TIC 101955023,Gaia DR2 5413438219396893568,1.628931,0.101,0.00522,6.3,0.22,529,,,,,3270,0.21,0.18,-2.359,153.7090696,-47.1549358,-1053.98,414.3,12.613
TIC 467929202,Gaia DR2 4393265392167891712,1.58040487,0.244,0.02004,1.68,,547,,,14.54,0.1195,2949,0.21,0.15,-2.553,258.8313991,4.9606795,580.447,-749.588,14.6427
TIC 467929202,Gaia DR2 4393265392167891712,1.58040433,0.245,0.02571,2.2,0.063,596,,,14.85,,3250,0.21,0.18,-2.337,258.8313991,4.9606795,580.447,-749.588,14.6427
TIC 467929202,Gaia DR2 4393265392167891712,1.5803925,0.239,0.021,1.87,0.14,555,,,14.66,0.1162,3026,0.21,0.16,-2.484,258.8313991,4.9606795,580.447,-749.588,14.6427
TIC 467929202,Gaia DR2 4393265392167891712,1.58040482,0.203,0.02,3.03,,,,0.8788,14.71,0.1161,,0.21,0.16,,258.8313991,4.9606795,580.447,-749.588,14.6427
TIC 467929202,Gaia DR2 4393265392167891712,1.58040482,0.236,0.02,1.89,,,,0.8788,14.71,0.1161,3170,0.18,0.16,,258.8313991,4.9606795,580.447,-749.588,14.6427
TIC 467929202,Gaia DR2 4393265392167891712,1.58040456,0.254,0.0197,1.49,,,,,14,,3026,0.22,0.15,,258.8313991,4.9606795,580.447,-749.588,14.6427
TIC 370133522,Gaia DR2 6468968316900356736,0.5182416,0.105,0.00415,,,,,0.724,5.03,0.0277,3458,0.39,0.38,,306.9286462,-56.4622865,424.414,-1230.62,20.373
TIC 370133522,Gaia DR2 6468968316900356736,0.5182349,0.106,0.00658,,0,1089,,0.734,,0.02802,3458,0.39,0.38,-1.708,306.9286462,-56.4622865,424.414,-1230.62,20.373
TIC 279741379,Gaia DR2 4673947174316727040,35.61253,0.233,0.07142,7,0.188,422,,3.23,60.1,0.035,4640,0.69,0.73,-0.686,51.7501882,-63.500166,355.084,-247.46,16.32
